cpi_ID,author,google_scholar_ID,affiliation,emails,title,pubyear,citation,link
RTC5,Amitabh Chandra,"""VNI_Zf4AAAAJ""","Professor, Harvard University",Verified email at harvard.edu,Coverage of new drugs in medicare Part D,2022,"The Milbank Quarterly, 2022",Missing
CMT6,Amy Wells,"""aSDgc5QAAAAJ""",No affiliations available,No emails available,"Changes to Physical Activity, Sitting Time, Eating Behaviours and Barriers to Exercise during the First COVID-19 ‘Lockdown’in an English Cohort",2021,"International Journal of Environmental Research and Public Health 18 (19), 10025, 2021",Missing
TDR8,Andrew Walder,"""gunBPPcAAAAJ""","Professor of Sociology, Stanford University",Verified email at stanford.edu,"Anatomy of a Regional Civil War: Guangxi, China, 1967–1968",2022,"Social Science History 46 (1), 35-63, 2022",Missing
LIM9,Ann Owens,"""T05VsSsAAAAJ""","Sociology, University of Southern California",Verified email at usc.edu,Intersecting Inequalities: Racial/Ethnic and Socioeconomic Differences in Math Achievement and School Contexts in California,2022,"Social Problems, 2022",Missing
AXE9,Anna Chmielewski,"""9kIld5sAAAAJ""","Associate Professor, Ontario Institute for Studies in Education, University of Toronto",Verified email at utoronto.ca,Social Inequality in Student Expectations and Higher Education Enrollment-A Comparison Between the United States and Germany,2021,"SocArXiv, 2021",Missing
YWC0,Anne Morrison,"""qFYCdZ4AAAAJ""",No affiliations available,No emails available,"Race, Ethnicity & Criminal Justice System Intervention",2022,"2021 APPAM Fall Research Conference, 2022",Missing
EVO0,Annette Lareau,"""wzzVOIoAAAAJ""",University of Pennsylvania,Verified email at sas.upenn.edu,"Hostile Ignorance, Class, and Same-Race Friendships: Perspectives of Working-Class College Students",2021,"Socius 7, 23780231211048305, 2021",Missing
SUW5,Anthony Antonio,"""MIeXZAsAAAAJ""","professor of education, stanford university",Did not search,Signaled or Suppressed? How Gender Informs Women’s Undergraduate Applications in Biology and Engineering,2022,"SocArXiv, 2022",Missing
WKD8,Anthony Heath,"""73fjh3wAAAAJ""","Professor of Sociology, Oxford University",Verified email at nuffield.ox.ac.uk,"Fuzzy frontiers: Remainers are more fluid than Leavers in their Englishness, but they are similar in the fluidity of their Britishness",2021,"British Politics and Policy at LSE, 2021",Missing
RDI7,Anthony Orum,"""nPFiWG4AAAAJ""","Professor Emeritus of Sociology, University of Illinois at Chicago",Verified email at luc.edu,A case for the case study,2020,"The University of North Carolina Press, 2020",Missing
TOD4,Arne Kalleberg,"""A3B90V8AAAAJ""","Kenan Distinguished Professor of Sociology, University of North Carolina",Verified email at email.unc.edu,100 Years of Social Forces,2022,"Social Forces 101 (1), 4-37, 2022",Missing
UDU0,Arnold Milstein,"""tpN8G8oAAAAJ""",Stanford University,Verified email at stanford.edu,Automatic detection of hand hygiene using computer vision technology,2020,"Journal of the American Medical Informatics Association, 2020",Missing
ULR2,Asad Asad,"""ZVfJdNQAAAAJ""",,Verified email at stanford.edu,"Legal passing: navigating undocumented life and local immigration law: by Angela S. García, Oakland, University of California Press, 2019, xii+ 267 pp.,£ 25.00 (paperback …",2020,"Ethnic and Racial Studies 43 (13), 2439-2441, 2020",Missing
JPP8,Avner Greif,"""-Ie61WQAAAAJ""",Professor of Economics,Verified email at stanford.edu,Political Legitimacy in Historical Political Economy,2022,Missing,Missing
ZDT4,Barbara Kiviat,"""xZW1SzgAAAAJ""",Stanford University,Verified email at stanford.edu,"Values at the End of Life: The Logic of Palliative Care. Roi Livne Harvard University Press, 2019. $46.50 (hardback). ISBN 9780674545175.",2021,"The British Journal of Sociology 72 (2), 472-474, 2021",Missing
XJY8,Barbara Voss,"""ld9-jzUAAAAJ""",Stanford University,Verified email at stanford.edu,Disrupting Cultures of Harassment in Archaeology: Social-Environmental and Trauma-Informed Approaches to Disciplinary Transformation,2021,"American Antiquity 86 (3), 2021",Missing
WJQ7,Barry Maguire,"""dxdL8YQAAAAJ""",Stanford University,Verified email at stanford.edu,Efficient Markets and Alienation,2021,"Philosophers' Imprint, 2021",Missing
WQR9,Benoit Monin,"""eQNyi-YAAAAJ""",Stanford University,Verified email at stanford.edu,A many-analysts approach to the relation between religiosity and well-being,2022,"Religion, Brain & Behavior, 1-47, 2022",Missing
AEZ9,Brigid Barron,"""V8bau84AAAAJ""","Professor of Education, Stanford University",Verified email at stanford.edu,18. GLOBAL LEARNING ECOLOGIES: LEVERAGING TECHNOLOGIES FOR EQUITY,2022,"Education, 313-334, 2022",Missing
WAE8,Brigitte Madrian,"""hSs-qMQAAAAJ""","Dean and Marriott Distinguished Professor, Marriott School of Business, Brigham Young …",Verified email at byu.edu,Borrowing to save? The impact of automatic enrollment on debt,2022,"Journal of Finance 77 (1), 403-447, 2022",Missing
HRW0,Bruce Meyer,"""t1KqozwAAAAJ""","Professor, Harris School, University of Chicago",Verified email at uchicago.edu,Stigma in welfare programs,2022,"IZA Discussion Paper, 2022",Missing
CQX6,Bruce Owen,"""KUzRlHIAAAAJ""","Doyle Professor in Public Policy, Emeritus, Stanford University",Verified email at stanford.edu,Madison's Missing Branch,2021,"SIEPR Stanford Institute for Economic Policy Research, 2021",Missing
WTJ7,Bruce Western,"""nmhROwkAAAAJ""",Columbia University,Verified email at columbia.edu,Clustering of health burdens in solitary confinement: A mixed-methods approach,2022,"SSM-Qualitative Research in Health 2, 100036, 2022",Missing
HJH4,Bryan Graham,"""ff5UvfQAAAAJ""","Professor of Economics, University of California - Berkeley",Verified email at econ.berkeley.edu,Introduction to the Annals Issue in Honor of Gary Chamberlain,2022,"Journal of Econometrics 226 (1), 1-3, 2022",Missing
SSO6,Carlos-Antonio-Costa,"""c5lHij8AAAAJ""",Universidade do Estado do Rio de Janeiro,Verified email at iesp.uerj.br,"A interseção entre renda, raça e desempenho acadêmico no acesso ao ensino superior brasileiro",2022,"Available at SSRN, 2022",Missing
DEV5,Carol Dweck,"""AW49xiMAAAAJ""",No affiliations available,No emails available,Believing that prejudice can change increases children's interest in interracial interactions,2022,"Developmental Science, e13233, 2022",Missing
HDM2,Caroline Ratcliffe,"""NEFdv44AAAAJ""",No affiliations available,No emails available,eCommerce in Publishing: Trends and Strategies,2022,"Available at SSRN 4075431, 2022",Missing
RDU9,Charles Hirschman,"""xuSfYUcAAAAJ""","Department of Sociology, University of Washington",Verified email at uw.edu,America Classifies the Immigrants: From Ellis Island to the 2020 Census,2022,"Contemporary Sociology 51 (2), 146-148, 2022",Missing
RLK3,Charles P Henry,"""1FmlBNUAAAAJ""","Professor of Chemistry, Colorado State University",Verified email at colostate.edu,From Here to Equality: Reparations for Black Americans in the Twenty-First Century,2021,Journal of Academic History,Missing
WCW4,Chinhui Juhn,"""IwyXcIEAAAAJ""","Professor of Economics, University of Houston",Verified email at uh.edu,Work-care balance over the day and the gender wage gap,2021,"AEA Papers and Proceedings 111, 149-53, 2021",Missing
SNN8,Christine Percheski,"""x4BXxkAAAAAJ""",Northwestern University,Verified email at northwestern.edu,"Marriage, Kids, and the Picket Fence? Household Type and Wealth among US Households, 1989 to 2019",2022,"Sociological Science 9, 159-183, 2022",Missing
DMY3,Christine Wotipka,"""u_DBScQAAAAJ""",Stanford University,Verified email at stanford.edu,"Effect of LGBT anti-discrimination laws on school climate and outcomes for lesbian, gay, and bisexual high school students",2022,"Journal of LGBT Youth 19 (3), 307-329, 2022",Missing
LRM2,Christopher Jencks,"""0BSEAb8AAAAJ""",No affiliations available,No emails available,Topic maintenance in video-mediated virtual exchanges: Rolling the ball back in L2 interactions,2022,"System, 102834, 2022",Missing
GXR0,Christopher Taber,"""mDVf4UoAAAAJ""",,Verified email at wisc.edu,"Estimation of a life-cycle model with human capital, labor supply and retirement",2022,"National Bureau of Economic Research, 2022",Missing
EEZ9,Claudia Goldin,"""XK_7TgUAAAAJ""",No affiliations available,No emails available,Understanding the economic impact of COVID-19 on women,2022,"National Bureau of Economic Research, 2022",Missing
OCP9,Colin Mills,"""ITcdc00AAAAJ""",Oxford University,Verified email at sociology.ox.ac.uk,On group comparisons with logistic regression models,2020,"Sociological Methods & Research 49 (2), 498-525, 2020",Missing
DIJ9,Cristobal Young,"""yqMR-J4AAAAJ""","Associate Professor of Sociology, Cornell University",Verified email at stanford.edu,Job Hunting: A Costly Quest,2022,Missing,Missing
IDK6,Cybelle Fox,"""mibOLpQAAAAJ""","Professor of Sociology, University of California, Berkeley",Verified email at berkeley.edu,Rethinking Sanctuary: The Origins of Non-Cooperation Policies in Social Welfare Agencies,2022,"Law & Social Inquiry, 1-30, 2022",Missing
DEZ5,Cynthia Epstein,"""9CYGvmYAAAAJ""",Graduate Center CUNY,Verified email at gc.cuny.edu,Woman’s place,2020,"Woman’s Place, 2020",Missing
THK2,Dale Miller,"""gesfW8sAAAAJ""",,Verified email at stanford.edu,Facemasks: Perceptions and use in an ED population during COVID-19,2022,"PloS one 17 (4), e0266148, 2022",Missing
UOV0,Dalton Conley,"""7y6DzMgAAAAJ""",Henry Putnam University Professor of Sociology,Verified email at princeton.edu,Social and genetic associations with educational performance in a Scandinavian welfare state,2022,"Proceedings of the National Academy of Sciences 119 (25), e2201869119, 2022",Missing
YOC1,Daniel Bertaux,"""Q4JDICUAAAAJ""","CNRS FRance, Sociologie. Laboratoire Dynamiques Européennes, Université de …",Verified email at misha.fr,A utilização das narrativas de vida numa perspetiva socio-etnográfica,2022,Missing,Missing
TIJ3,Daniel Hamermesh,"""BiVYxyIAAAAJ""",,Verified email at rhul.ac.uk,Racial/ethnic differences in non-work at work,2021,"ILR Review 74 (2), 272-292, 2021",Missing
BXT0,Daniel Kessler,"""Uf9s1vAAAAAJ""",,Verified email at stanford.edu,The Relationship Between Provider Age and Opioid Prescribing Behavior.,2022,"American Journal of Managed Care 28 (5), 2022",Missing
CQI0,Daniel Lichter,"""6-C8WyIAAAAJ""","Ferris Family Professor, Cornell Brooks School of Public Policy, Cornell University",Verified email at cornell.edu,"Gender, union formation, and assortative mating among older women",2022,"Social Science Research 103, 102656, 2022",Missing
UWF2,Daron Acemoglu,"""l9Or8EMAAAAJ""","Economics, MIT",Did not search,"Radical and incremental innovation: The roles of firms, managers, and innovators",2022,"American Economic Journal: Macroeconomics 14 (3), 199-249, 2022",Missing
TLX6,David Autor,"""cp-8uaAAAAAJ""","Professor of Economics, MIT",Verified email at mit.edu,An evaluation of the paycheck protection program using administrative payroll microdata,2022,"Journal of Public Economics 211, 104664, 2022",Missing
PWQ2,David Broockman,"""Ifl1VQEAAAAJ""","Associate Professor, University of California, Berkeley",Verified email at berkeley.edu,The promise and pitfalls of cross-partisan conversations for reducing affective polarization: Evidence from randomized experiments,2022,"Science Advances 8 (25), eabn5515, 2022",Missing
OMD0,David Card,"""lqmGJIkAAAAJ""","Professor of Economics, UC Berkeley",Verified email at econ.berkeley.edu,Local polynomial order in regression discontinuity designs,2022,"Journal of Business & Economic Statistics 40 (3), 1259-1267, 2022",Missing
JBR3,David Harding,"""t5XxEi8AAAAJ""","Professor of Sociology, UC Berkeley",Verified email at berkeley.edu,Race and the geography of opportunity in the post-prison labor market,2021,"Social Problems 68 (2), 438-489, 2021",Missing
VTV7,David Johnson,"""eYqjMLMAAAAJ""",University of Michigan,Verified email at umich.edu,"Inequality in 3‐D: Income, Consumption, and Wealth",2022,"Review of Income and Wealth 68 (1), 16-42, 2022",Missing
CUB1,David Laitin,"""nWArfawAAAAJ""","Professor of Political Science, Stanford University",Verified email at stanford.edu,"Linguistic diversity, official language choice and human capital",2022,"Journal of Development Economics 156, 102811, 2022",Missing
WAC7,David Lee,"""4Z9et2IAAAAJ""",,Verified email at princeton.edu,Valid t-ratio Inference for IV,2021,"National Bureau of Economic Research, 2021",Missing
AXM7,David Neumark,"""Jh-oGMwAAAAJ""","Distinguished Professor of Economics, UCI; Co-Director, CPIP",Verified email at uci.edu,Does Ageist Language in Job Ads Predict Age Discrimination in Hiring?,2022,"Journal of Labor Economics 40 (3), 000-000, 2022",Missing
JQG6,David Pedulla,"""S61PPWYAAAAJ""","Professor, Harvard University",Verified email at fas.harvard.edu,"The Politics of Part-Time Work: Gender, Employment Status, and Preferences for Redistribution",2022,"Politics & Gender 18 (2), 321-358, 2022",Missing
GKX1,David Rehkopf,"""85mEA54AAAAJ""","Department of Medicine, Stanford University",Verified email at stanford.edu,The Earned Income Tax Credit as supplementary food benefits and savings for durable goods,2022,"Contemporary Economic Policy, 2022",Missing
LXR7,Deborah Reed,"""dFPR598AAAAJ""",The University of Tennessee,Verified email at utk.edu,The Effects of Professional Development on English Learners’ Problem Solving,2022,"Journal of Learning Disabilities, 00222194221099671, 2022",Missing
GIZ9,Debra Satz,"""XnyfOwMAAAAJ""",Stanford University,Verified email at stanford.edu,In Defense of A Mandatory Public Service Requirement,2022,"Royal Institute of Philosophy Supplements 91, 259-269, 2022",Missing
SSF0,Derek Neal,"""-zDt7xYAAAAJ""","Professor of Economics, University of Chicago",Verified email at uchicago.edu,Educator incentives and educational triage in rural primary schools,2022,"Journal of Human Resources 57 (1), 79-111, 2022",Missing
YJB7,Devah Pager,"""S4hBc-cAAAAJ""","Professor of Sociology & Public Policy, Harvard University",Verified email at harvard.edu,Criminalizing Poverty: The Consequences of Court Fees in a Randomized Experiment,2022,"American Sociological Review, 00031224221075783, 2022",Missing
HXF9,Domenico Parisi,"""tzv9Vd8AAAAJ""",,Verified email at nsparc.msstate.edu,Inter‐County Migration and the Spatial Concentration of Poverty: Comparing Metro and Nonmetro Patterns,2022,"Rural Sociology 87 (1), 119-143, 2022",Missing
CWW1,Donald Tomaskovic-Devey,"""6IIFqigAAAAJ""","Professor of Sociology, University of Massachusetts, Amherst",Verified email at soc.umass.edu,Immigrant-biased technological change: The effect of new technology implementation on native and non-Western immigrant employment in the Netherlands,2022,"Social Forces 101 (1), 404-439, 2022",Missing
VGQ7,Donald Treiman,"""DYZUS1wAAAAJ""","Distinguished Professor of Sociology Emeritus, UCLA",Verified email at ucla.edu,Determinants and consequences of rural‐to‐urban migration patterns in China: Evidence from sequence analysis,2022,"Population, Space and Place 28 (2), e2493, 2022",Missing
UGL9,Dorian Warren,"""tIKwLdQAAAAJ""",No affiliations available,No emails available,Getting out the vote in the projects: lessons from a community organizing experiment,2022,"Politics, Groups, and Identities, 1-12, 2022",Missing
WPV9,Douglas Bernheim,"""BrKoyUwAAAAJ""","Professor of Economics, Stanford University",Verified email at stanford.edu,A General Solution to the Problem of Setting Optimal Default Options,2022,"AEA Papers and Proceedings 112, 131-35, 2022",Missing
OYA1,Douglas Massey,"""T758DcgAAAAJ""","Professor of Sociology and Public Affairs, Princeton University",Verified email at princeton.edu,"Young, Gifted and Diverse: Origins of the New Black Elite",2022,"Princeton University Press, 2022",Missing
MBE6,Duane Alwin,"""sjzh-AYAAAAJ""",Professor of Sociology,Did not search,Review of “Living on the Edge: An American Generation’s Journey through the Twentieth Century”,2021,"Social Forces 100 (2), e13-e13, 2021",Missing
JJD5,Eamonn Callan,"""bX2iIu4AAAAJ""",Stanfor University,Verified email at stanford.edu,Kymlicka on cultural rights and liberalism,2016,"Dve domovini, 2016",Missing
PAS5,Edna Bonacich,"""LkYgluQAAAAJ""","University of California, Riverside",Verified email at ucr.edu,Asian Labor in the Development of,2021,"Labor immigration under capitalism: Asian workers in the United States …, 2021",Missing
HIZ1,Edward B Montgomery,Missing,Dean at Georgetown University,Verified email at georgetown.edu,None,None,None,Missing
UQS9,Edward Wolff,"""b1joKF4AAAAJ""",No affiliations available,No emails available,The impact of operational scoring experience and additional mentored training on raters’ essay scoring accuracy,2020,"Applied Measurement in Education 33 (3), 210-222, 2020",Missing
YFP1,Eli Berman,"""ncd_LOUAAAAJ""","Professor of Economics, UCSD; Research Director, UC Inst. on Global Conflict & …",Verified email at ucsd.edu,"Fertility, migration, and altruism",2020,"Journal of Demographic Economics 86 (3), 367-402, 2020",Missing
TIR9,Elijah Anderson,"""LvzfDaAAAAAJ""",No affiliations available,Did not search,"The “Token,” the “Tom,” and “the HNIC”",2022,"Black in White Space, 173-197, 2022",Missing
RPV8,Elizabeth Frankenberg,"""K9cUPCAAAAAJ""",University of North Carolina,Verified email at unc.edu,Exposure to Extreme Weather Events and Migration Intentions,2022,"PAA 2022 Annual Meeting, 2022",Missing
SMC5,Elizabeth Rhodes,"""PfUOWowAAAAJ""","Professor of Hispanic Studies, Boston College",Verified email at bc.edu,The COVID-19 cash transfer study II: The hardship and mental health impacts of an unconditional cash transfer to low-income individuals,2022,"National Tax Journal 75 (3), 000-000, 2022",Missing
AER7,Emily Hannum,"""kb-nhPoAAAAJ""",University of Pennsylvania,Verified email at sas.upenn.edu,Pathways to Inclusion or Exclusion in China: Transitions to Adulthood in Poor Rural Regions,2022,"PAA 2022 Annual Meeting, 2022",Missing
EWX4,Emmanuel Saez,"""qZpr_CQAAAAJ""","Professor of Economics, UC Berkeley",Verified email at econ.berkeley.edu,Real-Time Inequality,2022,"National Bureau of Economic Research, 2022",Missing
VQK6,Eric Grodsky,"""WT0vZX4AAAAJ""",Professor of Sociology,Verified email at wisc.edu,Discourse Tokens of Value and the Coordination of Internship Labor: Analyzing How Employers Talk About College Internships,2022,Missing,Missing
EIH7,Eunice Rodriguez,Missing,Pediatrics at Stanford Medical School,No emails available,Effect of Stanford Youth Diabetes Coaches' Program on Youth and Adults in Diverse Communities,2022,Family & Community Health,Missing
QWF9,Eva Milgrom,"""Bv3qyBwAAAAJ""",Stanford University,Verified email at stanford.edu,When Should Control Be Shared?,2022,"Management Science, 2022",Missing
VYR3,Fernando Riosmena,"""r6PObW8AAAAJ""",Associate Professor. Population Program and Geography Department. University of …,Verified email at colorado.edu,Refugee Populations,2022,"PAA 2022 Annual Meeting, 2022",Missing
NPD6,Filiz Garip,"""e3IQeS_3N8MC""","Professor of Sociology and Public & International Affairs, Princeton University",Verified email at princeton.edu,Network amplification,2021,"Research Handbook on Analytical Sociology, 308-320, 2021",Missing
LWN8,Fiona Devine,"""cO06VfsAAAAJ""",Head of Alliance Manchester Business School and Professor of Sociology,Verified email at manchester.ac.uk,"Class, politics and the progressive dilemma",2017,"The Political Quarterly 88 (1), 30-38, 2017",Missing
MZQ3,Firdaus Dhabhar,"""MyX3RksAAAAJ""","Miller School of Medicine, University of Miami",Verified email at miami.edu,Sex Differences in Peritraumatic Inflammatory Cytokines and Steroid Hormones Contribute to Prospective Risk for Nonremitting Posttraumatic Stress Disorder,2021,"Chronic Stress 5, 24705470211032208, 2021",Missing
AXU5,Florencia Torche,"""jeabV8gAAAAJ""","Professor of Sociology, Stanford University",Verified email at stanford.edu,Fertility During the COVID-19 Pandemic,2022,"PAA 2022 Annual Meeting, 2022",Missing
RZI9,Francine Blau,"""dJstIecAAAAJ""","Frances Perkins Professor of Economics, Cornell University",Verified email at cornell.edu,Who are the essential and frontline workers?,2021,"Business Economics 56 (3), 168-178, 2021",Missing
TWU0,Francis Pearman,"""5_Yl34sAAAAJ""",Stanford University,Verified email at stanford.edu,School Closures and the Gentrification of the Black Metropolis,2022,"Sociology of Education, 00380407221095205, 2022",Missing
ACU5,Francisco Pedraza,"""Fi3VJKMAAAAJ""",Associate Professor of Political Science,Verified email at asu.edu,Latinos’ Knowledge of the Supreme Court,2021,"Journal of Law and Courts 9 (1), 27-48, 2021",Missing
QXF1,Francisco Ramirez,"""2X-jYMcAAAAJ""","Professor of Education, Stanford University",Verified email at stanford.edu,Women’s participation and challenges to the liberal script: A global perspective,2021,"International Sociology, 02685809211060911, 2021",Missing
RQR7,Frank Bean,"""MDw8DcQAAAAJ""","Professor of Sociology, University of California, Irvine",Verified email at uci.edu,An Introductory Overview,2022,"Comparative Family and Fertility Research, 4, 2022",Missing
NNM2,Gary Marks,"""26PKgtoAAAAJ""","Burton Craige Professor of Political Science, UNC-Chapel Hill",Verified email at unc.edu,Revisiting party system structuration in Latin America and Europe: Economic and socio-cultural dimensions,2022,"Party Politics, 13540688221090604, 2022",Missing
IHK2,Gary Sandefur,"""PjXs3voAAAAJ""","Provost and Professor of Sociology, Oklahoma State University",Verified email at okstate.edu,The dynamics and intergenerational transmission of poverty and welfare participation,2019,"Social Stratification, 378-389, 2019",Missing
IXH3,Gary Segura,"""rWAhr_4AAAAJ""",UCLA Luskin School of Public Affairs,Verified email at luskin.ucla.edu,"Costly Calculations: A Theory of War, Casualties, and Politics",2021,"Cambridge University Press, 2021",Missing
UOV3,Gavin Jones,"""kHQGRSkAAAAJ""",No affiliations available,No emails available,The Changing Marriage Institution in Malaysia,2021,"Institutions and Economies, 1-3, 2021",Missing
LEC8,Gavin Wright,"""VnYF208AAAAJ""",,Verified email at stanford.edu,Slavery and the Rise of the Nineteenth-Century American Economy,2022,Journal of Economic Perspectives,Missing
CBY1,Geoffrey Evans,"""joGAUS4AAAAJ""","Nuffield College, Oxford",Verified email at nuffield.ox.ac.uk,"The conditional politics of class identity: class origins, identity and political attitudes in comparative perspective",2022,"West European Politics 45 (6), 1178-1205, 2022",Missing
YRV6,George Akerlof,"""5uKrHqwAAAAJ""","McCourt School, Georgetown",Did not search,Frontrunning the signals: As arbitrage between sophisticates,2021,"Proceedings of the National Academy of Sciences 118 (13), e2025524118, 2021",Missing
MUJ3,George Farkas,"""VQZC3yAAAAAJ""","University of California, Irvine",Verified email at uci.edu,Not too late: Improving academic outcomes for disadvantaged youth,2040,"Northwestern University Institute for Policy Research Working Paper, 2040",Missing
KTM0,Gil Eyal,"""yf7DjpEAAAAJ""","Professor of sociology, Columbia University",Verified email at columbia.edu,Challenges for precision public health communication in the era of genomic medicine,2022,"Genetics in Medicine, 2022",Missing
BMT1,Glenn Firebaugh,"""VdvopeIAAAAJ""","Professor of Sociology, Pennsylvania State University",Verified email at psu.edu,Seasonal Variability in Weight Gain Among Children: A Closer Examination of the Interaction Effects,2022,"American Journal of Preventive Medicine 62 (2), e133, 2022",Missing
QXL1,Gopi Goda,"""lLntuhUAAAAJ""",Stanford University,Verified email at stanford.edu,Are Retirement Planning Tools Substitutes or Complements to Financial Capability?,2022,"Available at SSRN 4018004, 2022",Missing
ZMY9,Gordon Dahl,"""nKursZ8AAAAJ""","Professor of Economics, University of California, San Diego",Verified email at ucsd.edu,"Unemployment Insurance, Starting Salaries, and Jobs",2022,"National Bureau of Economic Research, 2022",Missing
KTS9,Gosta Esping-Andersen,"""wKNoabEAAAAJ""","Professor of Sociology. Bocconi University,Milano and Professor Emeritus, Pompeu Fabra …",Verified email at unibocconi.it,Privatization and the postsocialist fertility decline,2020,"Darja and Azarova, Aytalina and Fodor, Éva and Stuckler, David and Esping …, 2020",Missing
TRM5,Greg Duncan,"""Hg2FyqkAAAAJ""","Distinguished Professor of Education, University of California, Irvine",Verified email at uci.edu,Unconditional cash transfers and maternal substance use: findings from a randomized control trial of low-income mothers with infants in the US,2022,"BMC public health 22 (1), 1-11, 2022",Missing
VCI1,Greg Walton,"""9N9PPqAAAAAJ""",No affiliations available,No emails available,A scalable empathic-mindset intervention reduces group disparities in school suspensions,2022,"Science advances 8 (12), eabj0691, 2022",Missing
PRI0,Guadalupe Valdes,"""sfkluXUAAAAJ""","Professor of Education, Stanford University",Verified email at stanford.edu,Supporting Emergent Bilinguals' Reading in the Context Areas,2022,"The Reading Teacher, 2022",Missing
ZZL3,Guido Imbens,"""dYwbc9sAAAAJ""",Stanford University,Verified email at stanford.edu,Bayesian meta-prior learning using empirical bayes,2022,"Management Science 68 (3), 1737-1755, 2022",Missing
AFP5,Guillermina Jasso,"""7B6Tw1AAAAAJ""","Silver Professor and Professor of Sociology, New York University",Verified email at nyu.edu,New results linking inequality and justice,2020,"The Journal of Mathematical Sociology, 1-21, 2020",Missing
LTV5,Hannah Brueckner,"""PRpHLY4AAAAJ""","Professor of Social Research and Public Policy, New York University Abu Dhabi",Verified email at nyu.edu,"Late, but not too late? Postponement of first birth among highly educated US women",2021,"European Journal of Population 37 (2), 371-403, 2021",Missing
NGN1,Hans-Peter Blossfeld,"""F0kCgy8AAAAJ""",Prof. für Soziologie Universität Bamberg & Prof. of Sociology European University Institute,Verified email at eui.eu,How do institutional factors shape PhD completion rates? An analysis of long-term changes in a European doctoral program,2022,"Studies in Higher Education 47 (2), 318-337, 2022",Missing
MHK5,Harry Ganzeboom,"""-abxxmUAAAAJ""","Professor of Sociology and Social Research Methodology, VU University Amsterdam",Verified email at vu.nl,Parental socioeconomic status and the timing of first marriage,2021,"Demographic Research 45, 469-516, 2021",Missing
GRH9,Harry Holzer,"""Q76YWaUAAAAJ""","McCourt School of Public Policy, Georgetown University",Verified email at georgetown.edu,"Automation, Jobs, and Wages",2022,"Shifting Paradigms: Growth, Finance, Jobs, and Inequality in the Digital …, 2022",Missing
FQO8,Haya Stier,"""xiRrWuwAAAAJ""",Tel Aviv University,Verified email at tauex.tau.ac.il,Marital Status and Gender Inequality in Household Income Among Older Adults in Israel: Changes Over time,2022,"Social Indicators Research 159 (2), 801-820, 2022",Missing
